,Datetime,Tweet Id,Text,Sentiment
153,2021-09-15 17:39:41+00:00,1438195831149109248,https://t.co/6rYtz8Mayi,1.0
154,2021-09-15 15:15:01+00:00,1438159425315999746,@brian_armstrong Bitcoin fixes this,1.0
155,2021-09-15 14:59:58+00:00,1438155638119489541,"On repeat since it came out ⁦@babykeem⁩

 https://t.co/vKFvMv5Hgf",1.0
156,2021-09-10 13:22:47+00:00,1436319240445992963,@AarikaRhodes Def. Will set up,1.0
157,2021-09-09 17:03:22+00:00,1436012366261587972,Throwing pillows of various sizes at Mark Zuckerberg looks fun https://t.co/fJdKbuYymv,1.0
158,2021-09-08 18:50:58+00:00,1435677056336080898,"@StephenCurry30 Don’t trust, verify https://t.co/0j3aZAXcwp",1.0
159,2021-09-06 18:34:19+00:00,1434948088746201091,💯 https://t.co/fXxOtOGmHe,1.0
160,2021-09-01 13:39:56+00:00,1433062066424778752,@gladstein @bernard_parah Def,1.0
161,2021-08-31 12:42:31+00:00,1432685230280806411,https://t.co/z52l4EtBvk,1.0
162,2021-08-30 00:24:17+00:00,1432137059666378755,Grateful for @elonmusk &amp; @SpaceX ❤️ https://t.co/1s4TqV3IdH,1.0
163,2021-08-28 15:16:05+00:00,1431636712078336002,@alee Nah,1.0
164,2021-08-28 03:35:33+00:00,1431460418086752257,https://t.co/khIRWPZ9SC,1.0
165,2021-08-27 22:09:07+00:00,1431378268167577608,@bisq_network Def! Cc:@brockm,1.0
166,2021-08-27 22:07:04+00:00,1431377752549171209,@evankaloudis I love bisq! Many lessons to learn from it.,2.0
167,2021-08-27 22:05:43+00:00,1431377414362386437,"@mdudas Thanks, Mike",1.0
168,2021-08-27 19:27:01+00:00,1431337475344109571,@edgett 🙏🏼🙏🏼🌅,1.0
169,2021-08-27 18:31:44+00:00,1431323561982054401,@deppilf This makes Square better,1.0
170,2021-08-27 18:24:16+00:00,1431321683856605192,* @TBD54566975,1.0
171,2021-08-27 18:20:36+00:00,1431320761474617344,We’ve determined @TDB54566975’s direction: help us build an open platform to create a decentralized exchange for #Bitcoin https://t.co/jHYWHy1qmu,1.0
172,2021-08-27 03:02:25+00:00,1431089692070588419,◽️◼️◽️,1.0
173,2021-08-26 23:32:50+00:00,1431036949251436545,@jsngr 💯,1.0
174,2021-08-25 12:39:06+00:00,1430510044702023682,@nedsegal @Twitter 🙏🏼,1.0
175,2021-08-25 02:53:49+00:00,1430362750438547460,Wow https://t.co/23yOVXNV1h,1.0
176,2021-08-21 01:30:50+00:00,1428892316685774852,696767,1.0
177,2021-08-20 19:20:56+00:00,1428799228793561093,@GarrettMcManus You missed a spot,1.0
178,2021-08-20 17:18:22+00:00,1428768382107668486,❤️❤️❤️ https://t.co/jBKElYj1Zc,1.0
179,2021-08-20 02:19:27+00:00,1428542163051327488,@jonst0kes No.,1.0
180,2021-08-20 01:52:57+00:00,1428535494472781824,@AndrewDARMACAP @VitalikButerin Take him where?,1.0
181,2021-08-19 01:21:28+00:00,1428165182442848266,💯 https://t.co/iiKTKRsy16,1.0
182,2021-08-17 22:23:29+00:00,1427758005685211139,"@austin_rief Rough day? Cheers, jack 🦶",1.0
183,2021-08-17 17:02:08+00:00,1427677133221113862,@ODELL 💯,1.0
184,2021-08-17 16:14:55+00:00,1427665251848306697,@neha @orionwl @fanquake Great milestone,2.0
185,2021-08-17 16:13:40+00:00,1427664937862717441,@kitt_andrew @compass_mining I’m trying mining with @compass_mining too…,1.0
186,2021-08-16 21:26:10+00:00,1427381191741788166,@BdGBertdeGroot @nvk @theBLOCKCLOCK @Coinkite Magic hour 🌅,1.0
187,2021-08-16 18:52:49+00:00,1427342601208975362,@Mood4Eva98 👋,1.0
188,2021-08-16 18:08:26+00:00,1427331429671833606,"@lsanger New project? This is our first and only lead. 

It maybe “contrary” today, but won’t be in future. 

And don’t trust us. That’s the entire point.",1.0
189,2021-08-16 17:06:29+00:00,1427315839666118662,"Jay will be leading @bluesky!

Another step towards decentralizing Twitter and social media. 

Now we can move much faster, and through code. https://t.co/9RLR4Je8GE",1.0
190,2021-08-15 21:49:55+00:00,1427024780973289475,@matthewramsden @lightningnodl @ODELL Thank you Matthew!,1.0
191,2021-08-15 19:20:48+00:00,1426987255579791366,@lightningnodl @matthewramsden @ODELL This is great but doesn’t seem to update height in real time?,1.0
192,2021-08-15 13:06:11+00:00,1426892980749848579,#wtfhappenedin1971,1.0
193,2021-08-15 12:19:36+00:00,1426881255711330309,"Curated by @NipseyHussle: The Marathon Continues

 https://t.co/bwt32jVLRE",1.0
194,2021-08-15 01:53:01+00:00,1426723570755985412,has anyone made a blockclock-like iOS widget?,1.0
195,2021-08-15 01:45:17+00:00,1426721627283329024,@LaserHodl OG,1.0
196,2021-08-15 00:32:35+00:00,1426703331448217600,@howardlindzon @seyitaylor @davewiner Quality over quantity,1.0
197,2021-08-15 00:29:45+00:00,1426702616315273218,@howardlindzon @seyitaylor @davewiner You need a hug Howard?,1.0
198,2021-08-14 23:57:06+00:00,1426694400558698504,@seyitaylor @davewiner @howardlindzon True. But we are fixing.,1.0
199,2021-08-14 13:20:20+00:00,1426534154343174145,@ireaderinokun @SenWarren Thank you!,1.0
200,2021-08-14 12:30:47+00:00,1426521682538344451,"Wow: “32 percent of Nigerians own Bitcoin, the highest percentage in the world.” 🇳🇬 

Open letter to @SenWarren:
https://t.co/Dl11yxRKyQ",1.0
201,2021-08-14 01:07:21+00:00,1426349690879102980,https://t.co/LOWVNVrBex,1.0
