Datetime,Tweet Id,Text,Sentiment
2021-07-12 23:25:25+00:00,1414727629219975168,"England is being called racist for being mean to a blk princess &amp; few blk soccer players.  I thought they were racists for enslaving &amp; pillaging:￼ 
🇳🇬🇬🇭🇿🇦🇨🇲🇰🇪🇪🇬🇬🇾🇯🇲🇹🇹🇧🇸🇧🇲🇦🇺🇦🇮 🇲🇸🇳🇿🇻🇬🇱🇨🇬🇩🇰🇳🇻🇨🇩🇲🇧🇧🇧🇿🇦🇬🇮🇳🇧🇩… &amp; the Windrush Generation. #EuroFinal",0.0
2021-07-12 23:25:11+00:00,1414727568658472963,"Notice how #MarcusRashford , #JadonSancho and #bukayosaka were countrymen, until they were no longer “of use”. These colonizers are all about genocide, oppression, forced assimilation and exploitation. 
#EURO2020 #EnglandRacism #EnglandFootballTeam #EuroFinal",1.0
2021-07-12 23:24:46+00:00,1414727463259750403,"#NooitMeerLockdown #Rutte #EuroFinal 
@Wiep13396680 @rinsjan @J41963735 @BilderbergsS @delmundo_sasa @LidwienNews @BLIKOPENER333 @MuzZ11_ @observeerder @natassavass @Kijkverder1 https://t.co/R2uUWrSCJS",1.0
2021-07-12 23:24:31+00:00,1414727400022290433,"I'm so ashamed to say I'm English. 

The pathetic subjugation to a monarchy.

 The inbred racism. 

The systemic corruption and racism in every institution that's a total sham.

#Euro2020Final",1.0
2021-07-12 23:24:15+00:00,1414727336306647040,This is very Sad! i can hear the pain in his words! #StopRacism #StopHate #StopOnlineAbuse #JustStopIt #Euro2020Final https://t.co/tcX1trPN7W,1.0
2021-07-12 23:23:43+00:00,1414727198280404992,"This is for you #bollocks 🤣🤣🤣
#England #EngIta #Euro2020Final #EURO2020 #Saka #Brexit is Brexit
#justsaying #RetweeetPlease #fairplay https://t.co/zfZ9FwN1yJ",1.0
2021-07-12 23:23:34+00:00,1414727163870384135,"ICYMI: The @EvCoRadioShow with @GinetteandJuice !

⚽️ #1 Soccer-Swooper Evan has a couple questions about yesterday's #EuroFinal 
🐶Ginette has a famous dog-niece
⚽️Julian from @ComunidadDep760 , a soccer expert, joins the show

Play it back:
🟢https://t.co/MmTNOTXoCX
🍎",1.0
2021-07-12 23:23:10+00:00,1414727062238158851,"@TheLastLeg #IsItOk that racism towards the three England players was absolutely disgusting yesterday and racism needs to die out? 
#Euro2020Final #JustBeKind",0.0
2021-07-12 23:22:46+00:00,1414726961964933122,#Euro2020Final #EuroCup2021 https://t.co/Izuf7lG9v4,1.0
2021-07-12 23:22:34+00:00,1414726910354108419,"Uguali a voi solo quando vi conviene.
#racism #Euro2020Final #NoRacism",1.0
2021-07-12 23:22:33+00:00,1414726907069882369,El reloj que le robaron a @LandoNorris en #Wembley ayer. #EURO2020 #Euro2020Final #McLaren https://t.co/FQX14Ck9SB,1.0
2021-07-12 23:22:20+00:00,1414726852216766464,"Likely the first time in my life I totally endorse something said by @BorisJohnson. ""Shame on you"", racist filth, ""I hope you will crawl back under the rock from which you emerged."" #englanditaly #EuroFinal #EURO2020 #ItaliaInghilterra https://t.co/KNSONKkML2",0.0
2021-07-12 23:22:20+00:00,1414726849855381504,"Non si contano più i ""Andatela a pjaa in der culo"" agli inglesi!!! Ci vuole un pallottoliere. #ItsComingHome #Euro2020Final #ITAENG #ItaliaInghilterra",1.0
2021-07-12 23:21:27+00:00,1414726628379348992,"Ma in tutto questo Niall Liam e Harry non hanno scritto niente, nuovi protetti.
#Euro2020Final #ItsComingRome #inglesivaffamoc",1.0
2021-07-12 23:21:03+00:00,1414726527175086085,"Smh. All true.
#Euros2021
#itsnotcominghome #ItsComingHome #EuroFinal #racism #Rashford #Saka #Sancho #RashfordSanchoSaka https://t.co/OwBeLsNSOf",1.0
2021-07-12 23:20:53+00:00,1414726486238633991,"Se tutta Europa...anzi tutto il Mondo (tranne #TomCruise) tifavano #Italia...una domanda me la farei...se fossi l'#Inghilterra...!!!
#ITA #ItaliaInghilterra #ITAENG #EURO2020 #Euro2020Final",1.0
2021-07-12 23:20:37+00:00,1414726419008172034,Avant l'#EURO2020 beaucoup ont fait des réflexions sur l'équipe Italienne jugée trop blanche. Eux ont gagné l'#Euro2020Final,1.0
2021-07-12 23:20:34+00:00,1414726408732135429,"i migliori siamo noi 💚🤍❤️
#Euro2020Final #EURO2020 #EuroFinal https://t.co/cuUGmSkk2F",1.0
2021-07-12 23:20:07+00:00,1414726296014401536,"Ran into a British man who works in my building. Asked if he had watched the football yesterday and how he felt about it. His response: ""It was great fun for the first hour!!"" 😩😭 #Euro2020Final",1.0
2021-07-12 23:19:18+00:00,1414726089382023168,"Una squadra che ha reso onore allo sport e che ha rappresentato bene l'Italia. Magnifico gioco di squadra.
A team that honored the sport and represented Italy well. Magnificent team play. https://t.co/TfdduW8pzr #mattarella #EURO2020 #Euro2020Final",0.0
2021-07-12 23:18:44+00:00,1414725944854581253,"The #Euro2020Final was terrific football. Full stop.

I have questions for Southgate; I have massive respect for Mancini; I am very happy for Chiellini and Verratti in particular; and I feel for Rashford, Sancho, and Saka.

All in all, the #EURO2020 experience did not disappoint!",2.0
2021-07-12 23:18:32+00:00,1414725896783728641,@HSJEditor @labourmatters And that’s not counting the #Euro2020Final bounce 🤦🏼‍♀️,1.0
2021-07-12 23:18:05+00:00,1414725780379144204,"#Euro2020Final 
Dopo aver giocato in casa per tutto l'europeo.
Aver avuto un tabellone facile. 
Un rigore inventato .
Chiedono di rigiocare? Magari con un.arbitro inglese ? 🇮🇹🇮🇹🇮🇹🇮🇹👍👍👍👍👍a casa!",1.0
2021-07-12 23:17:46+00:00,1414725703564681219,"""Giggio ti amo, siamo campioni d'Europa"" urlato addosso a Donnarumma che, in trance, non aveva capito di aver determinato la vittoria ai campionati europei, è una delle cose più belle che ho mai visto nello sport. #EuroFinal #ItaliaInghilterra #englanditaly #EURO2020 https://t.co/yrDodsSWIt",0.0
2021-07-12 23:17:45+00:00,1414725697692655623,"La faccia del Chiello...

#ItsComingRome @EURO2020 #Euro2020Final #EURO2020 #EuroFinal  #ITAENG #Chiellini https://t.co/aEcgDnawZz",1.0
